,hora,tipo_carretera,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,drogas_alcohol_positivo,vehiculos_implicados,coordenada_x_utm,coordenada_y_utm
6204,1,17,6.0,4,1.0,4.0,1.0,4,1,Serious,2,2,439974884,4476943051
6205,1,17,6.0,4,1.0,5.0,1.0,3,1,Slight,2,2,439974884,4476943051
12773,2,17,6.0,4,1.0,5.0,1.0,3,1,Slight,2,4,439978761,4476944803
12774,2,17,6.0,4,1.0,5.0,1.0,3,2,Slight,2,4,439978761,4476944803
12567,1,3,6.0,3,1.0,1.0,1.0,3,1,Slight,2,1,441257760,4476966258
16244,2,3,6.0,2,1.0,4.0,1.0,3,1,Slight,2,3,441255150,4476969392
16245,2,3,6.0,2,1.0,4.0,2.0,3,1,Slight,2,3,441255150,4476969392
16246,2,3,6.0,2,1.0,5.0,1.0,3,2,Slight,2,3,441255150,4476969392
32252,2,3,6.0,6,1.0,5.0,1.0,3,1,Slight,1,3,441260593,4476964506
32253,2,3,6.0,6,1.0,5.0,3.0,2,1,Serious,2,3,441260593,4476964506
32254,2,3,6.0,6,1.0,5.0,3.0,3,1,Serious,2,3,441260593,4476964506
6453,1,3,7.0,2,1.0,4.0,1.0,3,1,Slight,2,2,441345966,4476974628
6454,1,3,7.0,2,1.0,5.0,1.0,3,2,Slight,2,2,441345966,4476974628
7416,1,3,4.0,2,1.0,4.0,1.0,3,1,Slight,2,3,441344251,4476980276
7417,1,3,4.0,2,1.0,5.0,1.0,3,1,Slight,2,3,441344251,4476980276
7418,1,3,4.0,2,1.0,5.0,2.0,4,1,Slight,2,3,441344251,4476980276
15501,2,3,7.0,2,1.0,4.0,1.0,2,1,Fatal,2,2,441351484,4476978225
15502,2,3,7.0,2,1.0,5.0,1.0,3,1,Slight,2,2,441351484,4476978225
38561,1,12,6.0,2,1.0,5.0,1.0,3,1,Serious,2,2,441349173,4476974199
38562,1,12,6.0,2,1.0,5.0,1.0,3,1,Slight,2,2,441349173,4476974199
49269,1,19,7.0,3,1.0,3.0,1.0,3,2,Serious,2,1,443081110,4477000490
20234,1,19,7.0,3,1.0,3.0,1.0,3,1,Serious,2,3,441829799,4477010958
20235,1,19,7.0,3,1.0,5.0,1.0,3,2,Slight,2,3,441829799,4477010958
20236,1,19,7.0,3,1.0,5.0,2.0,1,1,Slight,2,3,441829799,4477010958
47548,1,3,7.0,6,3.0,2.0,1.0,2,1,Slight,2,2,441483830,4477033610
47549,1,3,7.0,6,3.0,2.0,3.0,4,2,Serious,2,2,441483830,4477033610
50021,2,16,20.0,2,1.0,4.0,1.0,3,1,Serious,2,3,450030020,4477044690
50022,2,16,20.0,2,1.0,5.0,1.0,3,2,Slight,2,3,450030020,4477044690
50023,2,16,20.0,2,1.0,5.0,1.0,3,1,Slight,2,3,450030020,4477044690
18425,1,19,20.0,2,1.0,4.0,1.0,3,1,Fatal,2,2,447425824,4477087459
18426,1,19,20.0,2,1.0,5.0,1.0,3,2,Slight,2,2,447425824,4477087459
41231,2,19,4.0,1,1.0,5.0,1.0,2,2,Slight,2,5,442095240,4477129251
41232,2,19,4.0,1,1.0,5.0,2.0,2,2,Serious,2,5,442095240,4477129251
41233,2,19,4.0,1,1.0,5.0,2.0,2,2,Slight,2,5,442095240,4477129251
41234,2,19,4.0,1,1.0,5.0,2.0,3,1,Slight,2,5,442095240,4477129251
3631,2,19,6.0,3,1.0,4.0,1.0,3,1,Serious,2,1,440900048,4477149774
36309,1,17,12.0,5,1.0,3.0,1.0,2,1,Serious,2,1,444675308,4477164780
24135,2,19,7.0,8,1.0,4.0,1.0,3,1,Fatal,2,3,442027239,4477187409
24136,2,19,7.0,8,1.0,5.0,1.0,3,1,Slight,2,3,442027239,4477187409
24222,2,18,4.0,8,1.0,3.0,1.0,3,2,Serious,2,3,443741568,4477200532
24223,2,18,4.0,8,1.0,3.0,1.0,3,1,Slight,2,3,443741568,4477200532
24224,2,18,4.0,8,1.0,5.0,1.0,2,1,Slight,2,3,443741568,4477200532
32471,2,19,6.0,3,1.0,13.0,1.0,3,2,Serious,2,1,440437280,4477221521
45315,2,19,7.0,6,1.0,3.0,1.0,3,1,Serious,2,2,443575540,4477277860
