,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
6551,341490,383910,3,1,2,1,40,1,1,5,19,9,7,2,1,1,3,Slight,-2.880418,53.348817
6912,341490,383900,6,1,2,1,30,1,1,7,36,9,2,3,1,2,3,Slight,-2.880417,53.348727
6913,341490,383900,6,1,2,1,30,1,1,7,36,9,0,2,1,2,3,Slight,-2.880417,53.348727
13145,341490,383900,3,1,2,1,40,1,1,5,45,9,0,2,1,1,3,Slight,-2.880417,53.348727
13146,341490,383900,3,1,2,1,40,1,1,5,45,9,8,3,1,1,3,Slight,-2.880417,53.348727
13147,341490,383900,3,1,2,1,40,1,1,5,45,9,0,2,2,2,3,Slight,-2.880417,53.348727
13148,341490,383900,3,1,2,1,40,1,1,5,45,9,8,3,2,2,3,Slight,-2.880417,53.348727
13149,341490,383900,3,1,2,1,40,1,1,5,45,9,0,2,2,2,2,Slight,-2.880417,53.348727
13150,341490,383900,3,1,2,1,40,1,1,5,45,9,8,3,2,2,2,Slight,-2.880417,53.348727
18305,341490,383910,3,1,2,2,40,1,2,3,29,9,6,2,2,1,3,Slight,-2.880418,53.348817
18306,341490,383910,3,1,2,2,40,1,2,3,29,9,2,2,2,1,3,Slight,-2.880418,53.348817
18307,341490,383910,3,1,2,2,40,1,2,3,29,9,6,2,2,1,1,Slight,-2.880418,53.348817
18308,341490,383910,3,1,2,2,40,1,2,3,29,9,2,2,2,1,1,Slight,-2.880418,53.348817
23031,341490,383910,3,1,2,2,40,1,1,5,2,9,8,5,1,1,2,Slight,-2.880418,53.348817
23032,341490,383910,3,1,2,2,40,1,1,5,2,9,1,2,1,1,2,Slight,-2.880418,53.348817
32004,341487,383900,3,1,3,1,40,1,1,2,25,9,7,2,1,1,3,Slight,-2.880462,53.348728
32005,341487,383900,3,1,3,1,40,1,1,2,25,9,6,3,1,1,3,Slight,-2.880462,53.348728
32006,341487,383900,3,1,3,1,40,1,1,2,25,9,9,3,1,1,3,Slight,-2.880462,53.348728
33589,341498,383915,3,2,2,1,40,3,1,4,25,9,4,2,1,1,2,Slight,-2.880275,53.348889
33590,341498,383915,3,2,2,1,40,3,1,4,25,9,11,2,1,1,2,Slight,-2.880275,53.348889
33591,341498,383915,3,2,2,1,40,3,1,4,25,9,4,2,2,2,1,Slight,-2.880275,53.348889
33592,341498,383915,3,2,2,1,40,3,1,4,25,9,11,2,2,2,1,Slight,-2.880275,53.348889
33593,341498,383915,3,2,2,1,40,3,1,4,25,9,4,2,1,1,2,Assistance,-2.880275,53.348889
33594,341498,383915,3,2,2,1,40,3,1,4,25,9,11,2,1,1,2,Assistance,-2.880275,53.348889
