,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
18738,1516807,1380739,1,4,0,110,0,1,2,51,2,2005,9,0,0,2,Assistance,lon,lat,0.9238795325112867,-0.3826834323650897
18739,1516807,1380739,1,4,0,110,0,1,2,51,2,2005,9,1,1,2,Assistance,lon,lat,0.9238795325112867,-0.3826834323650897
9013,1443848,1381158,10,1,1,25,0,0,5,41,1,2008,1,2,0,3,Assistance,lon,lat,0.258819045102521,-0.9659258262890682
6403,1497162,1381409,6,2,0,110,0,0,3,14,5,2009,6,0,1,3,Assistance,lon,lat,0.7071067811865476,-0.7071067811865475
19908,1465562,1382324,1,6,0,110,0,0,4,16,12,2021,4,0,0,4,Assistance,lon,lat,-0.4422886902190011,-0.8968727415326884
19909,1465562,1382324,1,6,0,110,0,0,4,16,10,2017,4,0,0,2,Assistance,lon,lat,-0.4422886902190011,-0.8968727415326884
19910,1465562,1382324,1,6,0,110,0,0,4,16,10,2017,4,1,0,1,Slight,lon,lat,-0.4422886902190011,-0.8968727415326884
9577,1446345,1382881,8,2,0,80,0,0,3,47,5,2001,5,0,1,3,Assistance,lon,lat,-0.7071067811865475,-0.7071067811865477
9578,1446345,1382881,8,2,0,80,0,0,3,47,6,2009,5,0,0,3,Slight,lon,lat,-0.7071067811865475,-0.7071067811865477
9577,1446345,1382881,8,2,0,80,0,0,3,47,5,2001,5,0,1,3,Assistance,lon,lat,-0.7071067811865475,-0.7071067811865477
9578,1446345,1382881,8,2,0,80,0,0,3,47,6,2009,5,0,0,3,Slight,lon,lat,-0.7071067811865475,-0.7071067811865477
18815,1525420,1383224,1,2,0,100,1,0,4,52,2,2003,9,0,1,3,Assistance,lon,lat,-0.7518398074789778,0.6593458151000684
7231,1505090,1385799,1,2,0,110,1,1,5,22,9,2019,9,0,0,3,Assistance,lon,lat,0.9762960071199335,-0.21643961393810257
16923,1464977,1387932,1,2,0,110,1,0,5,30,2,2008,4,0,0,2,Assistance,lon,lat,-0.5000000000000004,0.8660254037844384
4552,1455528,1388833,1,2,0,100,0,0,7,47,1,2010,1,2,0,3,Assistance,lon,lat,0.06540312923014312,-0.9978589232386035
14263,1437400,1390156,10,1,1,40,0,0,4,53,1,2014,1,2,0,2,Assistance,lon,lat,0.258819045102521,-0.9659258262890682
18868,1438214,1390575,1,1,1,110,0,0,2,1,1,2017,1,2,0,3,Assistance,lon,lat,-0.9940563382223196,0.10886687485196471
13225,1517922,1390995,1,2,0,50,1,0,5,41,1,2019,9,2,0,3,Assistance,lon,lat,-0.2206974350215017,0.9753423205085126
13225,1517922,1390995,1,2,0,50,1,0,5,41,1,2019,9,2,0,3,Assistance,lon,lat,-0.2206974350215017,0.9753423205085126
19302,1513120,1391377,1,2,0,110,1,0,2,8,6,2007,1,0,0,2,Assistance,lon,lat,0.7933533402912352,0.6087614290087207
19302,1513120,1391377,1,2,0,110,1,0,2,8,6,2007,1,0,0,2,Assistance,lon,lat,0.7933533402912352,0.6087614290087207
17325,1443476,1395224,1,2,0,110,0,1,4,39,1,2011,9,2,1,3,Assistance,lon,lat,-0.9320078692827984,-0.3624380382837018
6164,1518449,1396054,6,2,0,110,0,0,2,12,6,2013,5,0,1,2,Assistance,lon,lat,-0.21643961393810293,-0.9762960071199334
11046,1459433,1397485,1,1,0,110,0,0,1,11,1,1999,1,2,0,3,Assistance,lon,lat,-0.8870108331782218,-0.4617486132350336
20265,1433656,1398751,1,1,1,80,0,0,7,20,1,XXXX,1,2,0,3,Assistance,lon,lat,-0.7933533402912349,-0.6087614290087209
6086,1457206,1400999,1,1,0,110,0,0,5,11,2,2005,1,0,0,3,Assistance,lon,lat,0.5771451900372336,-0.8166415551616789
6087,1457206,1400999,1,1,0,110,0,0,5,11,2,2005,1,1,1,4,Assistance,lon,lat,0.5771451900372336,-0.8166415551616789
3851,1518465,1402066,1,2,0,110,0,0,7,40,2,2010,4,0,1,4,Assistance,lon,lat,-0.8457278217039733,-0.5336145159156114
3852,1518465,1402066,1,2,0,110,0,0,7,40,2,2014,4,0,0,3,Assistance,lon,lat,-0.8457278217039733,-0.5336145159156114
801,1518567,1403706,1,2,0,110,1,0,5,9,6,2012,1,0,0,2,Assistance,lon,lat,0.004363309284746571,0.9999904807207345
21418,1518645,1404306,8,2,0,110,0,1,7,37,6,1990,7,0,0,3,Assistance,lon,lat,-0.4226182617406989,-0.9063077870366503
21419,1518645,1404306,8,2,0,110,0,1,7,37,6,1990,7,1,1,3,Assistance,lon,lat,-0.4226182617406989,-0.9063077870366503
18743,1454640,1405679,1,1,0,110,0,0,2,51,6,2003,1,0,0,3,Assistance,lon,lat,-0.7071067811865475,-0.7071067811865477
20403,1426439,1408179,1,1,1,50,0,0,5,14,1,2010,1,2,0,3,Assistance,lon,lat,0.06540312923014312,-0.9978589232386035
21772,1454267,1409217,8,2,0,110,1,1,1,43,5,2010,9,0,0,4,Slight,lon,lat,0.9396926207859083,0.3420201433256688
21773,1454267,1409217,8,2,0,110,1,1,1,43,5,2010,9,1,0,3,Assistance,lon,lat,0.9396926207859083,0.3420201433256688
20323,1425572,1410871,1,1,1,50,0,0,6,19,1,2019,1,2,0,3,Assistance,lon,lat,0.7071067811865476,-0.7071067811865475
19687,1421885,1416384,10,2,1,40,0,0,6,10,1,2018,9,2,0,2,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
8896,1433522,1417631,1,1,1,100,0,0,3,40,2,1995,1,0,0,3,Assistance,lon,lat,-0.7372773368101242,-0.67559020761566
21824,1423559,1418258,6,2,0,50,1,0,6,43,6,2021,6,0,1,2,Slight,lon,lat,-0.8433914458128862,0.5372996083468231
21825,1423559,1418258,6,2,0,50,1,0,6,43,5,2015,6,0,0,3,Assistance,lon,lat,-0.8433914458128862,0.5372996083468231
9937,1470534,1422775,6,1,0,110,0,0,1,51,6,1993,1,0,0,2,Assistance,lon,lat,-0.6593458151000685,-0.7518398074789777
