,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
13128,344730,383610,3,5,2,50,1,2,3,44,9,4,4,1,1,3,Slight,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13129,344730,383610,3,5,2,50,1,2,3,44,9,1,1,1,1,3,Slight,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13130,344730,383610,3,5,2,50,1,2,3,44,9,0,3,1,1,2,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13131,344730,383610,3,5,2,50,1,2,3,44,9,4,2,1,1,2,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13132,344730,383610,3,5,2,50,1,2,3,44,9,4,4,1,1,2,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13133,344730,383610,3,5,2,50,1,2,3,44,9,1,1,1,1,2,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13122,344730,383610,3,5,2,50,1,2,3,44,9,0,3,1,1,3,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13123,344730,383610,3,5,2,50,1,2,3,44,9,4,2,1,1,3,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13124,344730,383610,3,5,2,50,1,2,3,44,9,4,4,1,1,3,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13125,344730,383610,3,5,2,50,1,2,3,44,9,1,1,1,1,3,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13126,344730,383610,3,5,2,50,1,2,3,44,9,0,3,1,1,3,Slight,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13127,344730,383610,3,5,2,50,1,2,3,44,9,4,2,1,1,3,Slight,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13128,344730,383610,3,5,2,50,1,2,3,44,9,4,4,1,1,3,Slight,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13129,344730,383610,3,5,2,50,1,2,3,44,9,1,1,1,1,3,Slight,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13130,344730,383610,3,5,2,50,1,2,3,44,9,0,3,1,1,2,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13131,344730,383610,3,5,2,50,1,2,3,44,9,4,2,1,1,2,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13132,344730,383610,3,5,2,50,1,2,3,44,9,4,4,1,1,2,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13133,344730,383610,3,5,2,50,1,2,3,44,9,1,1,1,1,2,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
18523,344410,383640,3,2,1,50,1,1,7,42,3,9,5,1,1,3,Assistance,-2.836511,53.346706,0.6427876096865395,-0.7660444431189779
18523,344410,383640,3,2,1,50,1,1,7,42,3,9,5,1,1,3,Assistance,-2.836511,53.346706,0.6427876096865395,-0.7660444431189779
18523,344410,383640,3,2,1,50,1,1,7,42,3,9,5,1,1,3,Assistance,-2.836511,53.346706,0.6427876096865395,-0.7660444431189779
18523,344410,383640,3,2,1,50,1,1,7,42,3,9,5,1,1,3,Assistance,-2.836511,53.346706,0.6427876096865395,-0.7660444431189779
26462,340891,383658,6,2,2,30,1,2,1,50,9,0,2,2,2,4,Assistance,-2.889369,53.346486,-0.1434926219911791,-0.9896513868196702
26463,340891,383658,6,2,2,30,1,2,1,50,9,0,2,1,1,3,Assistance,-2.889369,53.346486,-0.1434926219911791,-0.9896513868196702
26464,340891,383658,6,2,2,30,1,2,1,50,11,0,2,1,1,3,Assistance,-2.889369,53.346486,-0.1434926219911791,-0.9896513868196702
26465,340891,383658,6,2,2,30,1,2,1,50,11,0,2,2,2,3,Slight,-2.889369,53.346486,-0.1434926219911791,-0.9896513868196702
26466,340891,383658,6,2,2,30,1,2,1,50,11,0,2,2,2,2,Slight,-2.889369,53.346486,-0.1434926219911791,-0.9896513868196702
20249,343480,383700,6,1,1,20,1,4,1,6,2,3,2,3,2,1,Assistance,-2.85049,53.347147,-0.7771459614569711,-0.6293203910498372
20249,343480,383700,6,1,1,20,1,4,1,6,2,3,2,3,2,1,Assistance,-2.85049,53.347147,-0.7771459614569711,-0.6293203910498372
2640,343170,383750,6,3,1,30,1,1,3,32,9,1,5,1,1,3,Assistance,-2.855155,53.347563,0.9647873238288129,0.26303121445797495
