,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
21518,434970,381230,5,1,2,1,30,1,1,2,44,9,1,2,1,2,2,Slight,-1.476415,53.326826
25523,434976,381218,4,1,2,1,40,1,1,4,41,3,12,2,1,2,3,Assistance,-1.476327,53.326718
35170,434976,381218,4,1,2,1,30,1,1,1,27,9,14,2,1,2,3,Slight,-1.47633,53.326749
35171,434976,381218,4,1,2,1,30,1,1,1,27,9,10,2,1,2,3,Slight,-1.47633,53.326749
35172,434976,381218,4,1,2,1,30,1,1,1,27,9,14,2,2,2,1,Slight,-1.47633,53.326749
35173,434976,381218,4,1,2,1,30,1,1,1,27,9,10,2,2,2,1,Slight,-1.47633,53.326749
35174,434976,381218,4,1,2,1,30,1,1,1,27,9,14,2,2,1,1,Slight,-1.47633,53.326749
35175,434976,381218,4,1,2,1,30,1,1,1,27,9,10,2,2,1,1,Slight,-1.47633,53.326749
25523,434976,381218,4,1,2,1,40,1,1,4,41,3,12,2,1,2,3,Assistance,-1.476327,53.326718
35170,434976,381218,4,1,2,1,30,1,1,1,27,9,14,2,1,2,3,Slight,-1.47633,53.326749
35171,434976,381218,4,1,2,1,30,1,1,1,27,9,10,2,1,2,3,Slight,-1.47633,53.326749
35172,434976,381218,4,1,2,1,30,1,1,1,27,9,14,2,2,2,1,Slight,-1.47633,53.326749
35173,434976,381218,4,1,2,1,30,1,1,1,27,9,10,2,2,2,1,Slight,-1.47633,53.326749
35174,434976,381218,4,1,2,1,30,1,1,1,27,9,14,2,2,1,1,Slight,-1.47633,53.326749
35175,434976,381218,4,1,2,1,30,1,1,1,27,9,10,2,2,1,1,Slight,-1.47633,53.326749
35749,428566,381240,3,2,2,2,60,2,2,6,43,9,7,2,1,1,2,Assistance,-1.572565,53.32733
35750,428566,381240,3,2,2,2,60,2,2,6,43,9,1,2,1,1,2,Assistance,-1.572565,53.32733
35751,428566,381240,3,2,2,2,60,2,2,6,43,9,7,2,1,2,3,Assistance,-1.572565,53.32733
35752,428566,381240,3,2,2,2,60,2,2,6,43,9,1,2,1,2,3,Assistance,-1.572565,53.32733
35753,428566,381240,3,2,2,2,60,2,2,6,43,9,7,2,2,1,2,Assistance,-1.572565,53.32733
35754,428566,381240,3,2,2,2,60,2,2,6,43,9,1,2,2,1,2,Assistance,-1.572565,53.32733
35755,428566,381240,3,2,2,2,60,2,2,6,43,9,7,2,2,1,3,Slight,-1.572565,53.32733
35756,428566,381240,3,2,2,2,60,2,2,6,43,9,1,2,2,1,3,Slight,-1.572565,53.32733
35757,428566,381240,3,2,2,2,60,2,2,6,43,9,7,2,2,1,1,Slight,-1.572565,53.32733
35758,428566,381240,3,2,2,2,60,2,2,6,43,9,1,2,2,1,1,Slight,-1.572565,53.32733
1904,435410,381270,5,1,1,1,30,1,1,2,37,2,15,2,3,1,1,Slight,-1.469805,53.327156
2126,435410,381270,5,1,1,1,30,1,1,4,50,2,1,2,3,1,1,Slight,-1.469805,53.327156
8818,435410,381270,5,2,1,1,40,1,1,5,32,2,9,4,3,1,1,Assistance,-1.469805,53.327156
15852,435420,381260,5,1,1,1,30,1,1,5,18,2,8,2,3,1,1,Slight,-1.469656,53.327066
21757,430730,381280,6,1,1,1,40,1,1,6,48,2,2,4,3,2,4,Assistance,-1.540069,53.327538
9342,430840,381300,5,2,2,2,30,3,5,6,48,2,2,2,3,1,3,Assistance,-1.538415,53.327711
9343,430840,381300,5,2,2,2,30,3,5,6,48,2,2,3,3,1,3,Assistance,-1.538415,53.327711
1711,430990,381320,5,1,2,1,30,1,1,3,25,9,2,2,1,2,3,Slight,-1.536161,53.327882
1712,430990,381320,5,1,2,1,30,1,1,3,25,9,3,2,1,2,3,Slight,-1.536161,53.327882
1713,430990,381320,5,1,2,1,30,1,1,3,25,9,2,2,2,1,1,Slight,-1.536161,53.327882
1714,430990,381320,5,1,2,1,30,1,1,3,25,9,3,2,2,1,1,Slight,-1.536161,53.327882
1715,430990,381320,5,1,2,1,30,1,1,3,25,9,2,2,1,2,3,Assistance,-1.536161,53.327882
1716,430990,381320,5,1,2,1,30,1,1,3,25,9,3,2,1,2,3,Assistance,-1.536161,53.327882
5774,432320,381350,3,1,2,1,30,1,1,3,34,3,2,2,1,1,3,Slight,-1.516189,53.328072
9422,432320,381350,3,1,1,2,30,3,1,1,51,2,5,2,3,1,3,Assistance,-1.516189,53.328072
12398,432320,381360,5,2,2,3,30,3,3,1,7,9,4,2,1,1,2,Slight,-1.516188,53.328162
12399,432320,381360,5,2,2,3,30,3,3,1,7,9,7,5,1,1,2,Slight,-1.516188,53.328162
15829,432320,381360,3,1,2,1,30,1,1,7,18,3,11,2,1,1,1,Slight,-1.516188,53.328162
26190,432320,381359,3,1,1,1,20,1,1,2,39,2,8,2,3,1,3,Slight,-1.516189,53.328154
26306,432324,381358,3,1,3,2,30,1,1,2,5,3,1,2,1,1,3,Slight,-1.516132,53.328157
26307,432324,381358,3,1,3,2,30,1,1,2,5,3,9,4,1,1,3,Slight,-1.516132,53.328157
11526,434800,381370,6,2,1,2,30,3,5,2,42,2,7,2,3,1,1,Assistance,-1.478952,53.328095
30163,434798,381374,6,1,2,1,30,1,1,2,45,2,8,5,3,1,2,Slight,-1.478982,53.328132
5299,435090,381380,3,1,1,2,30,1,1,5,20,11,7,1,2,1,1,Slight,-1.474597,53.328166
6113,435090,381380,3,2,1,1,30,3,1,5,44,2,1,2,3,1,3,Assistance,-1.474597,53.328166
33123,435093,381406,3,1,2,2,30,1,2,5,15,9,5,4,1,2,3,Assistance,-1.474553,53.328431
33124,435093,381406,3,1,2,2,30,1,2,5,15,9,12,2,1,2,3,Assistance,-1.474553,53.328431
23520,428712,381531,3,2,2,1,60,2,1,4,42,3,4,2,1,1,3,Assistance,-1.570345,53.329907
23520,428712,381531,3,2,2,1,60,2,1,4,42,3,4,2,1,1,3,Assistance,-1.570345,53.329907
