,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
12447,533160,171610,3,1,1,1,30,1,1,2,45,9,4,2,1,1,3,Slight,-0.086009,51.427859
1245,533160,171610,3,2,1,1,30,1,1,6,29,9,1,1,2,2,3,Assistance,-0.085989,51.427803
12447,533160,171610,3,1,1,1,30,1,1,2,45,9,4,2,1,1,3,Slight,-0.086009,51.427859
14856,533150,171620,5,1,1,1,20,1,1,5,10,2,13,2,3,1,3,Slight,-0.086123,51.427951
1245,533160,171610,3,2,1,1,30,1,1,6,29,9,1,1,2,2,3,Assistance,-0.085989,51.427803
12447,533160,171610,3,1,1,1,30,1,1,2,45,9,4,2,1,1,3,Slight,-0.086009,51.427859
7005,533530,171690,6,1,1,1,30,1,1,4,24,9,3,2,1,2,2,Slight,-0.08064,51.428435
7006,533530,171690,6,1,1,1,30,1,1,4,24,2,3,2,3,2,1,Assistance,-0.08064,51.428435
7005,533530,171690,6,1,1,1,30,1,1,4,24,9,3,2,1,2,2,Slight,-0.08064,51.428435
7006,533530,171690,6,1,1,1,30,1,1,4,24,2,3,2,3,2,1,Assistance,-0.08064,51.428435
7005,533530,171690,6,1,1,1,30,1,1,4,24,9,3,2,1,2,2,Slight,-0.08064,51.428435
7006,533530,171690,6,1,1,1,30,1,1,4,24,2,3,2,3,2,1,Assistance,-0.08064,51.428435
7005,533530,171690,6,1,1,1,30,1,1,4,24,9,3,2,1,2,2,Slight,-0.08064,51.428435
7006,533530,171690,6,1,1,1,30,1,1,4,24,2,3,2,3,2,1,Assistance,-0.08064,51.428435
8343,533030,171730,3,1,4,2,30,1,1,6,23,9,10,2,1,1,2,Assistance,-0.087813,51.428912
8344,533030,171730,3,1,4,2,30,1,1,6,23,9,13,2,1,1,2,Assistance,-0.087813,51.428912
8345,533030,171730,3,1,4,2,30,1,1,6,23,9,2,2,1,1,2,Assistance,-0.087813,51.428912
8346,533030,171730,3,1,4,2,30,1,1,6,23,9,12,2,1,1,2,Assistance,-0.087813,51.428912
8343,533030,171730,3,1,4,2,30,1,1,6,23,9,10,2,1,1,2,Assistance,-0.087813,51.428912
8344,533030,171730,3,1,4,2,30,1,1,6,23,9,13,2,1,1,2,Assistance,-0.087813,51.428912
8345,533030,171730,3,1,4,2,30,1,1,6,23,9,2,2,1,1,2,Assistance,-0.087813,51.428912
8346,533030,171730,3,1,4,2,30,1,1,6,23,9,12,2,1,1,2,Assistance,-0.087813,51.428912
9160,533010,171750,3,2,2,1,30,1,1,2,29,9,1,2,1,1,3,Assistance,-0.088093,51.429097
9160,533010,171750,3,2,2,1,30,1,1,2,29,9,1,2,1,1,3,Assistance,-0.088093,51.429097
9160,533010,171750,3,2,2,1,30,1,1,2,29,9,1,2,1,1,3,Assistance,-0.088093,51.429097
9160,533010,171750,3,2,2,1,30,1,1,2,29,9,1,2,1,1,3,Assistance,-0.088093,51.429097
2988,533560,171810,6,1,1,2,30,1,1,5,6,2,0,2,3,1,1,Assistance,-0.080163,51.429507
8068,533550,171800,6,1,1,1,30,1,1,1,11,2,6,5,3,1,1,Slight,-0.080311,51.429419
2988,533560,171810,6,1,1,2,30,1,1,5,6,2,0,2,3,1,1,Assistance,-0.080163,51.429507
2988,533560,171810,6,1,1,2,30,1,1,5,6,2,0,2,3,1,1,Assistance,-0.080163,51.429507
2988,533560,171810,6,1,1,2,30,1,1,5,6,2,0,2,3,1,1,Assistance,-0.080163,51.429507
