,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
10110,1333298,1685374,6,2,0,80,0,0,5,2,2,2018,5,0,1,2,Slight,lon,lat,0.8314696123025455,-0.555570233019602
11143,1333289,1685362,6,2,0,60,0,0,7,14,2,2013,9,1,0,1,Slight,lon,lat,-0.7223639620597555,-0.6915130557822695
11839,1333298,1685374,6,2,0,80,0,0,3,26,2,2004,5,0,1,3,Slight,lon,lat,0.40673664307580043,-0.9135454576426008
11840,1333298,1685374,6,2,0,80,0,0,3,26,5,2019,5,0,1,3,Slight,lon,lat,0.40673664307580043,-0.9135454576426008
14674,1333289,1685362,6,3,0,80,0,0,2,7,2,2003,6,0,1,3,Slight,lon,lat,0.4422886902190013,-0.8968727415326883
14675,1333289,1685362,6,3,0,80,0,0,2,7,2,2003,6,1,0,3,Slight,lon,lat,0.4422886902190013,-0.8968727415326883
14676,1333289,1685362,6,3,0,80,0,0,2,7,5,2007,6,0,0,3,Assistance,lon,lat,0.4422886902190013,-0.8968727415326883
14685,1333289,1685362,6,2,0,60,0,0,1,7,5,2014,5,0,1,3,Slight,lon,lat,-0.8314696123025452,-0.5555702330196022
15526,1333298,1685374,6,2,0,80,0,0,1,16,2,2004,5,0,1,3,Slight,lon,lat,-0.04361938736533583,-0.9990482215818578
15694,1333298,1685374,6,2,0,80,0,0,1,18,2,2015,5,0,1,3,Slight,lon,lat,-0.38268343236508967,-0.9238795325112868
17484,1333298,1685374,6,2,0,80,0,0,3,39,5,2003,5,0,1,2,Slight,lon,lat,0.6087614290087209,-0.793353340291235
18429,1333251,1685411,3,5,0,60,0,0,2,50,2,2017,5,0,1,4,Slight,lon,lat,-0.9469301294951056,-0.3214394653031618
18430,1333251,1685411,3,5,0,60,0,0,2,50,5,2010,5,1,1,1,Slight,lon,lat,-0.9469301294951056,-0.3214394653031618
18667,1333289,1685362,6,2,0,80,1,1,4,1,2,2013,6,0,0,3,Slight,lon,lat,-0.47715876025960874,0.8788171126619652
18668,1333289,1685362,6,2,0,80,1,1,4,1,5,2010,6,0,0,3,Slight,lon,lat,-0.47715876025960874,0.8788171126619652
21561,1333298,1685374,6,2,0,80,0,0,5,43,2,2019,5,0,1,3,Slight,lon,lat,0.3007057995042729,-0.953716950748227
5320,1319990,1685584,3,2,0,60,1,0,7,4,1,2018,9,2,0,2,Assistance,lon,lat,-0.13052619222005168,0.9914448613738104
13924,1234531,1686065,1,2,0,100,0,0,3,51,6,2016,7,0,0,3,Assistance,lon,lat,0.2121776721564464,-0.9772311064626789
13925,1234531,1686065,1,2,0,100,0,0,3,51,6,2014,7,0,0,3,Slight,lon,lat,0.2121776721564464,-0.9772311064626789
13926,1234531,1686065,1,2,0,100,0,0,3,51,6,2014,7,1,1,3,Slight,lon,lat,0.2121776721564464,-0.9772311064626789
13927,1234531,1686065,1,2,0,100,0,0,3,51,6,2014,7,1,0,1,Slight,lon,lat,0.2121776721564464,-0.9772311064626789
15690,1327238,1686085,0,3,0,110,0,0,1,18,2,2012,9,0,1,3,Assistance,lon,lat,-0.7071067811865475,-0.7071067811865477
15691,1327238,1686085,0,3,0,110,0,0,1,18,2,2012,9,1,1,1,Slight,lon,lat,-0.7071067811865475,-0.7071067811865477
17853,1318940,1686456,3,2,0,60,1,0,5,43,1,2010,4,2,0,2,Assistance,lon,lat,-0.13052619222005168,0.9914448613738104
4271,1331316,1686663,8,3,0,60,0,0,5,45,5,2017,5,0,1,4,Slight,lon,lat,-0.9483236552061992,-0.31730465640509264
4272,1331316,1686663,8,3,0,60,0,0,5,45,5,2017,5,1,0,4,Slight,lon,lat,-0.9483236552061992,-0.31730465640509264
4273,1331316,1686663,8,3,0,60,0,0,5,45,2,2004,5,0,1,3,Slight,lon,lat,-0.9483236552061992,-0.31730465640509264
4274,1331316,1686663,8,3,0,60,0,0,5,45,5,2003,5,1,0,1,Slight,lon,lat,-0.9483236552061992,-0.31730465640509264
9560,1331415,1686845,3,2,0,60,0,0,3,48,4,2014,5,0,0,3,Slight,lon,lat,0.2798290140309923,-0.9600498543859286
14980,1331416,1686845,3,3,0,60,0,0,5,9,2,2009,5,0,0,2,Assistance,lon,lat,-0.7826081568524138,-0.6225146366376196
16238,1331373,1686738,3,4,0,60,1,0,3,24,2,2007,5,0,1,3,Slight,lon,lat,-0.9940563382223195,-0.10886687485196507
16239,1331373,1686738,3,4,0,60,1,0,3,24,2,2008,5,0,0,3,Slight,lon,lat,-0.9940563382223195,-0.10886687485196507
18096,1331418,1686798,3,3,0,60,0,0,4,46,2,2002,5,0,0,2,Slight,lon,lat,0.8660254037844387,-0.4999999999999998
18228,1331386,1686755,3,2,0,60,1,0,3,48,2,2005,9,0,1,3,Slight,lon,lat,0.9713420698132614,0.2376858923261731
18916,1331378,1686724,3,2,0,60,0,0,5,5,2,2003,7,0,0,4,Slight,lon,lat,0.40673664307580043,-0.9135454576426008
20745,1331406,1686782,3,3,0,60,0,0,5,31,2,2020,5,1,1,3,Slight,lon,lat,-0.6087614290087207,-0.7933533402912352
9587,1359304,1686959,1,2,0,100,0,0,5,48,5,1998,9,1,1,3,Assistance,lon,lat,-0.6087614290087207,-0.7933533402912352
13392,1319486,1687127,3,2,0,60,1,0,6,45,2,2008,5,0,1,4,Assistance,lon,lat,-0.11753739745783766,0.9930684569549263
4619,1333045,1687479,8,1,0,50,0,0,2,49,1,2018,1,2,0,1,Assistance,lon,lat,-0.9659258262890681,-0.2588190451025215
1232,1331854,1687793,3,2,0,50,1,0,7,13,5,2005,9,0,1,2,Assistance,lon,lat,-0.6977904598416802,0.7163019434246541
5603,1320829,1688020,3,1,0,50,1,0,7,7,1,2010,1,2,0,2,Assistance,lon,lat,0.0,1.0
12556,1320818,1687974,1,1,0,50,1,0,4,35,1,2010,1,2,0,2,Slight,lon,lat,-0.5224985647159495,0.8526401643540918
17189,1328203,1688337,0,3,0,110,0,1,5,35,2,2003,9,0,1,3,Slight,lon,lat,0.7283709698824006,-0.6851829903263589
20064,1328245,1688226,0,2,0,110,0,0,4,21,2,2004,9,0,0,2,Assistance,lon,lat,0.3420201433256689,-0.9396926207859083
58,1328457,1688613,8,2,0,90,1,0,7,1,5,2016,5,1,1,3,Slight,lon,lat,-0.6087614290087209,0.7933533402912349
691,1328471,1688636,8,2,0,60,0,0,5,8,2,1992,5,0,1,1,Slight,lon,lat,-0.9659258262890684,0.2588190451025203
692,1328471,1688636,8,2,0,60,0,0,5,8,2,1992,5,1,1,3,Slight,lon,lat,-0.9659258262890684,0.2588190451025203
733,1328457,1688613,8,2,0,90,1,0,1,9,5,2009,5,0,1,3,Slight,lon,lat,-0.4422886902190014,0.8968727415326883
2439,1328471,1688636,8,2,0,90,1,0,5,26,2,1998,9,0,0,2,Slight,lon,lat,0.8660254037844386,0.5000000000000001
8296,1328455,1688622,3,3,0,80,0,0,2,35,5,2007,5,1,1,1,Slight,lon,lat,-0.9469301294951056,-0.3214394653031618
8380,1328471,1688636,8,3,0,40,0,0,1,36,2,2002,5,1,1,4,Slight,lon,lat,-0.6427876096865393,-0.766044443118978
9895,1328471,1688636,8,2,0,40,1,0,1,52,2,2004,8,0,0,3,Slight,lon,lat,0.08715574274765817,0.9961946980917455
11940,1328471,1688636,6,2,0,90,1,0,4,27,5,2018,6,1,1,2,Slight,lon,lat,-0.9426414910921784,0.3338068592337709
12832,1328471,1688636,6,2,0,90,1,0,1,39,2,2018,6,0,0,3,Slight,lon,lat,-0.9832549075639546,0.18223552549214742
13421,1328457,1688613,6,2,0,90,0,0,2,46,2,2009,6,0,0,1,Slight,lon,lat,-0.4067366430757998,-0.9135454576426011
14189,1328471,1688636,6,2,0,60,0,0,1,2,2,2001,9,0,0,3,Slight,lon,lat,-0.9537169507482269,-0.30070579950427295
14238,1328457,1688613,6,2,0,90,0,0,4,2,2,2015,5,0,0,4,Assistance,lon,lat,-0.9990482215818578,-0.04361938736533613
17312,1328457,1688613,6,2,0,80,1,0,1,37,2,2005,5,0,0,3,Slight,lon,lat,-0.15643446504023198,0.9876883405951375
17313,1328457,1688613,6,2,0,80,1,0,1,37,2,2002,5,0,1,3,Assistance,lon,lat,-0.15643446504023198,0.9876883405951375
17595,1328457,1688613,6,2,0,90,0,0,6,40,6,2008,5,0,0,3,Slight,lon,lat,0.9762960071199335,-0.21643961393810257
19321,1328471,1688636,6,2,0,90,0,0,2,11,2,2006,8,0,0,3,Slight,lon,lat,0.5372996083468241,-0.8433914458128855
20339,1328471,1688636,6,2,0,90,0,0,3,25,2,1994,8,0,0,4,Slight,lon,lat,0.2714404498650746,-0.9624552364536472
20398,1328479,1688522,3,3,0,90,1,1,3,26,2,2001,5,0,1,2,Slight,lon,lat,-0.9914448613738104,-0.13052619222005163
20577,1328471,1688636,6,2,0,90,1,0,2,29,5,2012,8,0,1,3,Slight,lon,lat,-0.7071067811865477,0.7071067811865474
725,1328444,1688747,3,2,0,90,0,0,7,8,2,2001,7,0,0,3,Slight,lon,lat,-0.8660254037844384,-0.5000000000000004
2482,1328426,1688822,3,2,0,90,0,0,7,26,5,2007,5,0,1,2,Slight,lon,lat,-0.9713420698132613,-0.23768589232617343
2680,1328408,1688894,3,3,0,90,0,0,3,29,5,2017,5,0,1,3,Slight,lon,lat,-0.9537169507482269,-0.30070579950427295
4226,1328408,1688896,3,2,0,90,0,0,2,45,1,2018,5,2,0,3,Slight,lon,lat,-0.7933533402912349,-0.6087614290087209
5370,1328408,1688894,3,3,0,90,0,0,5,5,2,2018,5,0,1,3,Slight,lon,lat,-0.7798844830928814,-0.6259234721840596
6292,1328426,1688821,3,2,0,90,0,0,5,13,2,2014,5,0,1,3,Slight,lon,lat,-0.7933533402912349,-0.6087614290087209
8779,1328445,1688742,3,2,0,90,0,0,3,40,2,2012,6,0,1,3,Slight,lon,lat,0.5519369853120583,-0.8338858220671681
8931,1328448,1688731,3,2,0,90,0,0,1,42,2,2007,5,0,0,3,Slight,lon,lat,-0.8767267557075077,-0.4809887689193877
10247,1328446,1688740,3,3,0,90,0,0,2,4,2,2009,5,0,1,3,Slight,lon,lat,-0.9940563382223195,-0.10886687485196507
17132,1328432,1688795,3,2,0,90,0,0,1,35,1,2010,7,2,0,2,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
18204,1328430,1688806,3,3,0,90,0,0,7,47,6,2002,9,0,0,3,Assistance,lon,lat,0.9925461516413221,-0.12186934340514737
18205,1328430,1688806,3,3,0,90,0,0,7,47,6,2002,9,1,0,3,Assistance,lon,lat,0.9925461516413221,-0.12186934340514737
822,1331713,1689014,3,2,0,50,0,0,1,10,2,2004,9,1,1,1,Slight,lon,lat,0.7489557207890023,-0.6626200482157373
823,1331713,1689014,3,2,0,50,0,0,1,10,2,2004,9,1,0,1,Slight,lon,lat,0.7489557207890023,-0.6626200482157373
7054,1331780,1689113,3,2,0,50,0,0,5,21,5,2005,9,0,0,3,Assistance,lon,lat,-0.052335956242943564,-0.9986295347545738
3594,1071998,1689375,1,2,0,80,1,0,6,38,5,2000,1,0,1,2,Assistance,lon,lat,0.9978589232386035,0.06540312923014305
3595,1071998,1689375,1,2,0,80,1,0,6,38,5,2000,1,1,0,2,Slight,lon,lat,0.9978589232386035,0.06540312923014305
3221,1333513,1689448,3,2,0,60,0,0,7,34,1,2004,9,2,0,2,Assistance,lon,lat,-0.9510565162951535,-0.30901699437494756
15295,1333574,1689534,3,4,0,60,0,0,1,13,2,2016,5,0,1,3,Slight,lon,lat,0.7071067811865476,-0.7071067811865475
15296,1333574,1689534,3,4,0,60,0,0,1,13,2,2018,5,0,1,3,Slight,lon,lat,0.7071067811865476,-0.7071067811865475
15297,1333574,1689534,3,4,0,60,0,0,1,13,5,2000,5,1,1,1,Slight,lon,lat,0.7071067811865476,-0.7071067811865475
15298,1333574,1689534,3,4,0,60,0,0,1,13,5,2000,5,1,0,1,Slight,lon,lat,0.7071067811865476,-0.7071067811865475
15299,1333574,1689534,3,4,0,60,0,0,1,13,5,2000,5,1,1,4,Slight,lon,lat,0.7071067811865476,-0.7071067811865475
11406,1328255,1689773,1,3,0,50,1,1,5,19,2,2017,11,0,1,3,Slight,lon,lat,-0.8191520442889918,0.573576436351046
11407,1328255,1689773,1,3,0,50,1,1,5,19,2,2017,11,1,0,1,Slight,lon,lat,-0.8191520442889918,0.573576436351046
16994,1328263,1689895,1,2,0,50,1,0,4,33,2,2017,9,0,0,3,Slight,lon,lat,-0.28819626813408916,0.9575713608048145
16995,1328263,1689895,1,2,0,50,1,0,4,33,2,2017,9,1,0,3,Assistance,lon,lat,-0.28819626813408916,0.9575713608048145
12267,1330970,1690176,1,4,0,60,0,0,5,31,2,2002,5,0,0,4,Slight,lon,lat,-0.8191520442889916,-0.5735764363510464
13342,1330945,1690039,1,2,0,50,0,0,2,45,2,2006,9,0,0,2,Assistance,lon,lat,0.17364817766693028,-0.984807753012208
4035,1328041,1690404,3,2,0,90,0,0,2,43,6,2004,8,0,0,3,Slight,lon,lat,-0.6593458151000685,-0.7518398074789777
7977,1328064,1690311,3,3,0,90,1,0,5,31,10,2005,5,0,0,3,Assistance,lon,lat,-0.9993908270190958,-0.03489949670250076
7912,1261480,1690485,8,2,0,50,1,0,7,30,6,2017,9,1,0,2,Assistance,lon,lat,0.13052619222005157,0.9914448613738104
7913,1261480,1690485,8,2,0,50,1,0,7,30,6,2017,9,1,0,2,Slight,lon,lat,0.13052619222005157,0.9914448613738104
3222,1330252,1690945,1,2,0,50,0,0,7,34,2,2006,5,0,0,3,Slight,lon,lat,-0.9762960071199334,-0.21643961393810282
3899,1330155,1690824,6,2,0,60,1,0,6,41,2,2008,6,1,1,2,Slight,lon,lat,-0.6755902076156605,0.7372773368101239
5199,1330155,1690824,6,2,0,60,1,0,5,3,5,2011,6,0,1,3,Slight,lon,lat,-0.06540312923014367,0.9978589232386035
5829,1330155,1690824,6,2,0,60,0,0,1,10,1,1998,6,2,0,3,Assistance,lon,lat,-0.8660254037844384,-0.5000000000000004
7242,1330155,1690824,6,2,0,60,0,0,3,23,2,1998,5,0,1,3,Slight,lon,lat,-0.7431448254773944,-0.6691306063588581
7243,1330155,1690824,6,2,0,60,0,0,3,23,2,1998,5,1,1,4,Slight,lon,lat,-0.7431448254773944,-0.6691306063588581
8367,1330155,1690824,6,2,0,60,1,1,7,35,2,2006,6,1,0,2,Slight,lon,lat,0.17364817766693033,0.984807753012208
11139,1330185,1690796,1,2,0,60,0,0,6,14,5,2003,4,0,1,3,Slight,lon,lat,-0.9713420698132614,0.23768589232617307
11968,1330151,1690822,6,2,0,60,1,0,7,27,5,2010,6,1,1,1,Slight,lon,lat,-0.4886212414969546,0.8724960070727973
12041,1330151,1690822,6,2,0,60,0,0,1,29,5,2009,5,0,1,3,Slight,lon,lat,-0.7460573750616991,-0.6658816660008348
12951,1330151,1690822,6,2,0,60,1,1,3,40,2,2011,6,0,1,3,Slight,lon,lat,-0.9153114791194472,0.402746689858737
15818,1330151,1690822,6,2,0,60,0,0,3,19,2,2004,5,0,0,4,Slight,lon,lat,0.28819626813408944,-0.9575713608048144
16647,1330151,1690822,6,4,0,60,1,1,1,29,2,2004,6,1,1,1,Slight,lon,lat,-0.9320078692827986,0.36243803828370147
